Table 1.1.5. Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: March 26, 2020 - Next Release Date April 29, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
1990,,5963.1,3809,1491.3,497.1,994.2,2317.7,993.4,978.9,739.2,202.9,371.9,164.4,239.7,14.5,-77.9,551.9,403.3,148.6,629.7,508.1,121.7,1238.6,562.4,405,157.4,676.2
1991,,6158.1,3943.4,1497.4,477.2,1020.3,2446,944.3,944.7,723.6,183.6,360.8,179.1,221.2,-0.4,-28.6,594.9,430.1,164.8,623.5,500.7,122.8,1299,582.9,414,168.9,716
1992,,6520.3,4197.6,1563.3,508.1,1055.2,2634.3,1013,996.7,741.9,172.6,381.7,187.7,254.7,16.3,-34.7,633.1,455.3,177.7,667.8,544.9,122.9,1344.5,588.5,406.5,182,756
1993,,6858.6,4452,1642.3,551.5,1090.8,2809.6,1106.8,1086,799.2,177.2,425.1,196.9,286.8,20.8,-65.2,654.8,467.7,187.1,720,592.8,127.2,1364.9,580.2,391.6,188.5,784.8
1994,,7287.2,4721,1746.6,607.2,1139.4,2974.4,1256.5,1192.7,868.9,186.8,476.4,205.7,323.8,63.8,-92.5,720.9,518.4,202.6,813.4,676.8,136.6,1402.3,574.7,382.1,192.6,827.6
1995,,7639.7,4962.6,1815.5,635.7,1179.8,3147.1,1317.5,1286.3,962.2,207.3,528.1,226.8,324.1,31.2,-89.8,812.8,592.4,220.4,902.6,757.4,145.1,1449.4,576.7,377.2,199.5,872.7
1996,,8073.1,5244.6,1917.7,676.3,1241.4,3326.9,1432.1,1401.3,1043.2,224.6,565.3,253.3,358.1,30.8,-96.4,867.6,628.8,238.8,964,807.4,156.5,1492.8,579.2,377.3,201.9,913.7
1997,,8577.6,5536.8,2006.5,715.5,1291,3530.3,1595.6,1524.7,1149.1,250.3,610.9,288,375.6,70.9,-102,953.8,699.9,253.9,1055.8,885.7,170.1,1547.1,583.3,372,211.3,963.8
1998,,9062.8,5877.2,2108.4,779.3,1329.1,3768.8,1736.7,1673,1254.1,276,660,318.1,418.8,63.7,-162.7,953,692.6,260.4,1115.7,930.8,184.9,1611.6,585.5,368.8,216.8,1026.1
1999,,9630.7,6279.1,2287.1,855.6,1431.5,3992,1887.1,1826.2,1364.5,285.7,713.6,365.1,461.8,60.8,-255.8,992.8,711.7,281.1,1248.6,1051.2,197.4,1720.4,611.3,383.3,228.1,1109
2000,,10252.3,6762.1,2453.2,912.6,1540.6,4309,2038.4,1983.9,1498.4,321,766.1,411.3,485.4,54.5,-375.1,1096.3,795.9,300.3,1471.3,1250.1,221.2,1826.8,633.7,392.6,241.1,1193.1
2001,,10581.8,7065.6,2525.6,941.5,1584.1,4540,1934.8,1973.1,1460.1,333.5,711.5,415,513.1,-38.3,-367.9,1024.6,741.2,283.4,1392.6,1173.8,218.8,1949.3,670.1,413.2,256.9,1279.2
2002,,10936.4,7342.7,2598.8,985.4,1613.4,4743.9,1930.4,1910.4,1352.8,287,659.6,406.2,557.6,20,-425.4,998.7,709,289.7,1424.1,1194.4,229.8,2088.7,743,458.9,284.1,1345.7
2003,,11458.2,7723.1,2722.6,1017.8,1704.8,5000.5,2027.1,2013,1375.9,286.6,670.6,418.7,637.1,14.1,-503.1,1036.2,737.1,299.1,1539.3,1291.3,248,2211.2,826.3,521.2,305,1384.9
2004,,12213.7,8212.7,2902,1080.6,1821.4,5310.6,2281.3,2217.2,1467.4,307.7,721.9,437.8,749.8,64.1,-619.1,1177.6,830,347.7,1796.7,1507.3,289.4,2338.9,891.7,569.9,321.9,1447.1
2005,,13036.6,8747.1,3082.9,1128.6,1954.3,5664.2,2534.7,2477.2,1621,353,794.9,473.1,856.2,57.5,-721.2,1305.2,921.9,383.3,2026.4,1715.5,311,2476,947.5,609.4,338,1528.5
2006,,13814.6,9260.3,3239.7,1158.3,2081.3,6020.7,2701,2632,1793.8,425.2,862.3,506.3,838.2,69,-770.9,1472.6,1044.9,427.7,2243.5,1895.7,347.8,2624.2,1000.7,640.8,359.9,1623.5
2007,,14451.9,9706.4,3367,1188,2179,6339.4,2673,2639.1,1948.6,510.3,893.4,544.8,690.5,34,-718.4,1660.9,1161.3,499.6,2379.3,1999.7,379.6,2790.8,1050.5,679.3,371.2,1740.3
2008,,14712.8,9976.3,3363.2,1098.8,2264.5,6613.1,2477.6,2506.9,1990.9,571.1,845.4,574.4,516,-29.2,-723.1,1837.1,1292.5,544.5,2560.1,2144.3,415.9,2982,1150.6,750.3,400.2,1831.4
2009,,14448.9,9842.2,3180,1012.1,2167.9,6662.2,1929.7,2080.4,1690.4,455.8,670.3,564.4,390,-150.8,-396.5,1582,1058.4,523.6,1978.4,1585.4,393.1,3073.5,1218.2,787.6,430.6,1855.3
2010,,14992.1,10185.8,3317.8,1049,2268.9,6868,2165.5,2111.6,1735,379.8,777,578.2,376.6,53.9,-513.9,1846.3,1272.4,573.8,2360.2,1944.8,415.4,3154.6,1297.9,828,469.9,1856.7
2011,,15542.6,10641.1,3518.1,1093.5,2424.6,7123,2332.6,2286.3,1907.5,404.5,881.3,621.7,378.8,46.3,-579.5,2103,1462.3,640.7,2682.5,2240.5,441.9,3148.4,1298.9,834,465,1849.4
2012,,16197,11006.8,3637.7,1144.2,2493.5,7369.1,2621.8,2550.5,2118.5,479.4,983.4,655.7,432,71.2,-568.6,2191.3,1521.6,669.7,2759.9,2301.4,458.5,3137,1286.5,814.2,472.4,1850.5
2013,,16784.9,11317.2,3730,1189.4,2540.6,7587.2,2826,2721.5,2211.5,492.5,1027,691.9,510,104.5,-490.8,2273.4,1559.2,714.2,2764.2,2296.4,467.8,3132.4,1226.6,764.2,462.4,1905.8
2014,,17527.3,11822.8,3863,1242.1,2620.9,7959.8,3044.2,2960.2,2400.1,577.6,1091.9,730.5,560.2,84,-507.7,2371.7,1615,756.7,2879.4,2391.6,487.8,3168,1215,743.4,471.6,1953
2015,,18224.8,12284.3,3920.3,1305.9,2614.4,8363.9,3223.1,3091.2,2457.4,572.6,1121.5,763.3,633.8,131.9,-519.8,2266.8,1494.6,772.2,2786.6,2288.1,498.6,3237.3,1221.5,730.1,491.4,2015.7
2016,,18715,12748.5,3995.9,1352.6,2643.3,8752.6,3178.7,3151.6,2453.1,545.8,1093.6,813.8,698.5,27.1,-518.8,2220.6,1444,776.6,2739.4,2221.1,518.3,3306.7,1234.1,728.4,505.7,2072.6
2017,,19519.4,13312.1,4165,1412.6,2752.5,9147,3370.7,3340.5,2584.7,586.8,1143.7,854.2,755.7,30.2,-575.3,2356.7,1538.4,818.4,2932.1,2379.8,552.3,3412,1269.3,746.2,523.1,2142.7
2018,,20580.2,13998.7,4364.8,1475.6,2889.2,9633.9,3628.3,3573.6,2786.9,633.2,1222.6,931.1,786.7,54.7,-638.2,2510.3,1661.3,848.9,3148.5,2570.6,577.9,3591.5,1347.3,793.6,553.7,2244.2
2019,,21427.7,14562.7,4505,1526.8,2978.1,10057.7,3743.9,3675.6,2878.1,627,1241,1010.1,797.5,68.3,-631.9,2504.3,1643.8,860.5,3136.1,2530.1,606.1,3753,1423,846.2,576.8,2330