Year,Transportation,Electricity generation,Industry,Agriculture,Commercial,Residential,U.S. territories,Total
1990,1527.076528,1875.537005,1628.55571,534.8598644,426.92848,344.7217702,33.32118561,6371.000543
1991,1480.932414,1871.567818,1601.087569,534.640267,433.9764088,354.2868465,39.12387058,6315.615194
1992,1540.536129,1886.539355,1631.549769,538.7435762,429.4006681,360.8492098,37.31564976,6424.934357
1993,1577.522681,1962.302414,1604.889269,551.5105657,424.5560766,372.2031429,39.0854474,6532.069596
1994,1632.154313,1987.10259,1629.785256,543.9804447,427.1917688,363.1419738,41.47944012,6624.835787
1995,1667.32995,2003.827119,1647.961134,556.7417817,426.3747847,367.4086996,40.42382899,6710.067297
1996,1723.499506,2076.813504,1675.436843,559.0839023,433.7954795,398.8259743,40.24384621,6907.699055
1997,1750.008789,2142.984903,1673.020466,553.9920879,426.2269432,380.3929989,41.83578293,6968.46197
1998,1792.366351,2229.534239,1646.623631,575.4972942,400.2405421,346.031683,42.23226931,7032.52601
1999,1863.369787,2243.586719,1599.204691,553.2268806,396.3297407,365.7366255,50.00701312,7071.461457
2000,1901.233159,2349.128411,1588.81796,550.3505406,410.1957145,386.5471104,45.73787857,7232.010774
2001,1881.783855,2309.72425,1538.519562,558.1607614,398.7686315,376.7042014,53.14881984,7116.810082
2002,1923.216105,2325.712713,1522.119642,560.3649734,399.2708638,374.0714116,51.89715838,7156.652868
2003,1914.206006,2356.843517,1498.074427,564.6118518,415.0331448,392.563878,57.92983616,7199.262662
2004,1958.192368,2389.869513,1546.506328,586.9697043,411.7994055,380.1570539,59.5576767,7333.052049
2005,1975.963874,2455.90474,1508.356665,570.0440667,400.6785299,370.0383803,58.05361347,7339.039868
2006,1969.998117,2399.322906,1538.440678,582.8170298,386.9156283,333.9282526,58.90433652,7270.326948
2007,1969.309601,2465.977133,1529.040179,597.2466302,400.9379812,355.4750284,51.98115366,7369.967706
2008,1872.031338,2412.149675,1471.589121,583.5514042,407.9978578,363.7631558,49.51826045,7160.600813
2009,1795.852873,2195.933089,1319.18008,586.0844577,410.7817327,354.2990329,47.23788004,6709.369145
2010,1803.437222,2312.229639,1415.461672,593.746436,412.1490867,355.0053585,46.5622671,6938.591681
2011,1775.819979,2209.849661,1421.243817,579.216542,406.9954416,348.2700119,46.02357564,6787.419028
2012,1756.345344,2070.784485,1414.981983,563.2432428,386.5193109,305.6364974,48.45846847,6545.969331
2013,1765.440502,2088.732365,1469.527568,572.5703437,409.5807679,356.2930372,48.07359159,6710.218175
2014,1799.892338,2088.89422,1459.276118,569.1836131,419.5113215,376.6081448,46.62987641,6759.995632
2015,1809.342573,1949.509412,1451.166432,585.239496,432.1729652,349.7085065,46.63609381,6623.775479
2016,1849.737412,1857.155032,1414.134995,581.679613,416.0659812,326.8632079,46.63118438,6492.267425
2017,1866.183271,1778.34546,1436.454673,582.1804753,415.976008,330.9464335,46.63187233,6456.718193